SI,SS,XI,XS,XBH,XBA,XP,SO,SNO,SNH,SND,XND,SALK,TSS,FlowRate,Temperature
28.94755,3.174078715,1475.14319,65.64935781,2274.815974,159.96211,943.5265109,0.0093436,4.11502894,7.212819774,0.925199333,4.026257042,5.669143918,3689.322857,103533,14.32601114
28.85213412,2.602073338,1570.502722,61.1646374,2309.207769,168.4125088,964.113443,0.010217885,4.281048193,6.162394451,0.867597661,3.763145378,5.469371163,3805.050811,97499.1089,14.5343921
28.77480576,2.446375561,1620.718539,58.81595554,2325.919344,172.4069262,979.5476379,0.0108255,4.449882174,5.425962735,0.838038756,3.626664975,5.337945844,3868.056302,96931.5705,14.66414874
28.71042762,2.328735082,1644.732405,57.2576309,2336.311687,174.4150861,991.5946013,0.011525279,4.601380049,4.855897425,0.816599964,3.531226515,5.245125271,3903.233557,96275.81776,14.7420062
28.6571766,2.231429393,1654.914724,55.97063446,2345.304401,175.5781553,1001.110634,0.01246759,4.74570144,4.385424899,0.797257516,3.450833629,5.175750734,3924.658911,95632.18554,14.78607834
28.61492171,2.147319435,1658.458409,54.776607,2354.219624,176.3723218,1008.519866,0.013713502,4.884286305,3.984080994,0.779276536,3.378270078,5.122543854,3939.260121,95038.52601,14.80868201
28.58374493,2.073756874,1659.346244,53.62295816,2362.943677,176.985948,1014.154707,0.015216048,5.014056517,3.63691121,0.762884803,3.311583495,5.081572245,3950.290151,94517.85544,14.81815554
28.56254565,2.008450663,1659.726219,52.49425308,2371.142316,177.501689,1018.418882,0.016878398,5.130827523,3.333604415,0.748037504,3.25032583,5.050151203,3959.462519,94049.09045,14.82010798
28.54934163,1.949719336,1660.700139,51.38444286,2378.695952,177.9686891,1021.779322,0.018599158,5.231614657,3.065222209,0.73448714,3.194315643,5.026050936,3967.896408,93620.0438,14.81821866
28.54194076,1.896104721,1662.706707,50.29317546,2385.660523,178.4188854,1024.660813,0.020297836,5.315074537,2.824634116,0.721953814,3.143298416,5.007392051,3976.305078,93214.25779,14.81478581
28.53839736,1.846052247,1665.849547,49.21817621,2392.26887,178.8789138,1027.427261,0.0219211,5.381877131,2.606285073,0.709983302,3.096598832,4.992545526,3985.232076,92812.03461,14.8111231
28.53731492,1.799405163,1669.929654,48.16643288,2398.631099,179.3554267,1030.267752,0.023433935,5.433576785,2.408089245,0.698352694,3.053401391,4.98034346,3994.762774,92430.67965,14.80788607
28.53768916,1.756483544,1674.528966,47.15489605,2404.629467,179.8325805,1033.181081,0.024823417,5.471538309,2.23046837,0.687144278,3.013209642,4.970143598,4004.495243,92080.97355,14.8053147
28.53868657,1.717309734,1679.23446,46.19577467,2410.112328,180.2905723,1036.094028,0.026101974,5.497382737,2.073226587,0.676435843,2.975724002,4.9615453,4013.945372,91761.59104,14.80339711
28.53967399,1.684194656,1679.099373,45.20941241,2408.338794,180.2152785,1036.059247,0.027359255,5.514001841,1.934090624,0.666440108,2.934295285,4.954156042,4011.691578,91467.24488,14.80199322
28.54032003,1.657325564,1674.554488,44.20834207,2400.170318,179.6650625,1033.39341,0.028625215,5.524720196,1.809136835,0.657387525,2.889725567,4.947623406,3998.993715,91198.47113,14.80092335
28.54049556,1.633774978,1669.648812,43.26873786,2391.535675,179.0814026,1030.609924,0.029878076,5.530077761,1.69529526,0.648933234,2.847910221,4.941929425,3985.608414,90956.17898,14.80002004
28.54015936,1.614004033,1665.644302,42.43405964,2384.287121,178.6011532,1028.474237,0.031097295,5.52870917,1.592687908,0.641385585,2.811458007,4.937460011,3974.580654,90787.67506,14.79915605
28.53919903,1.601084612,1662.223956,41.75351941,2377.969342,178.1880811,1026.759592,0.032232934,5.516657526,1.506826791,0.63601763,2.782012568,4.935251297,3965.170868,90771.73347,14.79824027
28.53723547,1.594298135,1658.964943,41.2374266,2371.960396,177.7943504,1025.17614,0.033264243,5.491160383,1.440686101,0.633096485,2.759880981,4.935954077,3956.349942,90845.84966,14.79718443
28.53379654,1.591067182,1656.063579,40.84663146,2366.515867,177.439954,1023.829228,0.034204528,5.453769869,1.390484676,0.63181657,2.744042737,4.939186293,3948.521444,90954.95397,14.79591521
28.52858466,1.588239607,1653.949281,40.52487474,2362.220943,177.1707299,1022.977808,0.035091676,5.408505314,1.349500411,0.631107107,2.732876643,4.944018192,3942.632728,91039.74751,14.79440159
28.52171066,1.582385088,1653.287998,40.21096911,2360.000271,177.0585837,1023.035246,0.035981342,5.360968757,1.30977498,0.629695663,2.72450709,4.949149984,3940.1948,91031.07379,14.79266919
28.51372306,1.574061165,1654.207077,39.87834069,2360.012155,177.1170108,1024.080409,0.036881148,5.314868476,1.268273995,0.627391211,2.717745968,4.953785745,3941.471244,90977.86936,14.79078166
28.50522799,1.565790284,1655.583854,39.53110314,2360.643942,177.2244936,1025.4122,0.037769058,5.27013781,1.228092631,0.624920747,2.711673033,4.958028855,3943.796694,90920.63921,14.78879435
28.4963998,1.566992749,1655.756075,39.2552694,2359.523146,177.1997526,1025.981651,0.03846899,5.219905184,1.202802755,0.625179465,2.708481482,4.963709026,3943.286921,91108.30515,14.78665995
28.48692552,1.597211097,1651.143195,39.25915687,2351.562694,176.6521725,1023.523384,0.038561276,5.14375189,1.22639628,0.634555587,2.7150383,4.975935333,3931.605452,91976.45359,14.78404435
28.47859669,1.657066325,1640.196376,39.62420648,2334.610542,175.4128682,1017.050115,0.037959208,5.025026363,1.322615532,0.653981162,2.73578128,4.99818389,3905.17058,93248.61861,14.78052478
28.47680814,1.735428464,1625.588894,40.21636145,2312.513932,173.7727813,1008.240036,0.036946159,4.868027797,1.484935782,0.678484402,2.769066134,5.028792712,3870.249003,94645.1078,14.77592158
28.48841919,1.82688927,1611.850997,40.92363586,2291.717765,172.2221947,999.9341395,0.035691217,4.683159235,1.703936601,0.704642751,2.814865876,5.065086629,3837.486549,96169.6212,14.77018077
28.52022423,1.944341995,1600.054984,41.71777242,2273.749345,170.8774078,992.808161,0.034126815,4.471464104,1.994637228,0.734087776,2.87636391,5.106467353,3809.405753,97962.39282,14.7631606
28.57888628,2.110140876,1587.692661,42.54390748,2255.115341,169.4706372,985.3049675,0.032199292,4.226052064,2.396739569,0.771142442,2.957452402,5.152824968,3780.095636,99873.86859,14.75478261
28.66907253,2.348050581,1571.656857,43.31650051,2231.514689,167.6711702,975.4948866,0.029990244,3.941022628,2.953290668,0.820170323,3.061306348,5.203169893,3742.240577,101799.3253,14.7452046
28.79409522,2.696239713,1550.425237,44.10264815,2200.873201,165.3151768,962.4121611,0.027546594,3.607400356,3.710126812,0.887535448,3.196716682,5.258180551,3692.346318,104020.7297,14.73445793
28.96126854,3.210193791,1523.364902,45.23086482,2162.314092,162.3271664,945.6002393,0.02490458,3.211075931,4.704192671,0.980473499,3.377540031,5.32106966,3629.127948,106879.7951,14.72217963
29.17803086,3.904170262,1491.869602,47.15248925,2117.723286,158.8453698,925.8427512,0.022272421,2.761076111,5.875127659,1.095321415,3.603416565,5.391252104,3556.075124,109877.9488,14.70845622
29.44235287,4.77751496,1460.435805,50.25904483,2073.263415,155.3437003,905.8779405,0.019694714,2.298342971,7.0744729,1.219667107,3.860694144,5.463074196,3483.88493,112759.553,14.69409342
29.73189377,5.711954975,1436.087416,54.54375766,2038.695623,152.5803033,890.1045216,0.017238265,1.883122509,8.107658842,1.330482457,4.121638366,5.526613612,3429.008716,114523.5617,14.68070084
29.99759516,6.448514602,1426.317443,59.38536164,2024.550072,151.382263,883.3319566,0.014957939,1.581063719,8.788155597,1.400929939,4.344882835,5.569585939,3408.725322,114470.9941,14.67037424
30.204138,6.906126668,1430.529134,64.25369624,2030.001257,151.7042482,885.2894695,0.0127838,1.406521951,9.115550677,1.435085557,4.515987807,5.589855126,3421.333354,113858.8732,14.66343424
30.3514657,7.12640012,1442.191314,69.02149889,2045.940748,152.8486804,891.9065058,0.010752244,1.322656426,9.209828134,1.451265693,4.645818645,5.594109046,3451.431561,113045.4682,14.65879333
30.45370557,7.179305074,1456.175607,73.65285784,2065.246082,154.2626946,899.9679341,0.00896389,1.294893674,9.170226477,1.459791471,4.745804439,5.588454647,3486.978881,112228.3763,14.65552587
30.53149397,7.139574289,1469.20385,78.08068827,2083.388946,155.5912737,907.4278945,0.007531826,1.297136321,9.071330351,1.463082828,4.82577649,5.577698438,3520.26949,111546.0736,14.65298382
30.60281976,7.022795388,1480.0516,82.06061349,2098.746111,156.7045122,913.5656224,0.006547348,1.313912345,8.951582846,1.455568541,4.888298803,5.564320418,3548.346344,110836.3967,14.65094137
30.67602968,6.834940076,1488.985556,85.37991838,2111.733595,157.6312144,918.5887881,0.005959687,1.338852935,8.81906411,1.434468395,4.931907428,5.549047875,3571.739304,110085.6158,14.6494322
30.74925159,6.562271651,1497.747996,87.90014701,2124.808553,158.5569894,923.6104518,0.005620605,1.370299353,8.657889019,1.398525197,4.953414784,5.531415177,3594.468103,109070.1149,14.64862949
