T,FlowRate,Temperature,SO,SNO,SNH,SS
2023-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 00:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 00:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 00:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 00:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 08:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 08:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 08:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 08:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 09:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 09:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 09:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 09:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 10:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 10:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 10:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 10:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 11:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 11:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 11:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 11:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 12:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 12:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 12:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 12:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 13:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 13:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 13:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 13:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 14:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 14:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 14:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 14:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 15:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 15:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 15:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 15:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 16:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 16:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 16:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 16:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 17:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 17:29:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 17:44:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 17:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 18:14:59,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 18:29:59,0.0,0.0,0.0,0.0,0.0,0.0
