Time [days],S_I,S_S,X_I,X_S,X_BH,X_BA,X_P,S_O,S_NO3,S_NH,S_ND,X_ND,S_ALK,S_NO2,S_NO,S_N2O,S_N2,X_BA2,Temp,TSS_influent,Flow_influent,Kla,S_I_reactor,S_S_reactor,X_I_reactor,X_S_reactor,X_BH_reactor,X_BA_reactor,X_P_reactor,S_O_reactor,S_NO3_reactor,S_NH_reactor,S_ND_reactor,X_ND_reactor,S_ALK_reactor,S_NO2_reactor,S_NO_reactor,S_N2O_reactor,S_N2_reactor,X_BA2_reactor,Temp_reactor
0.0,30.0,1.546357942537,1147.25732746123,65.6468364835038,2407.52774735914,130.50278006541,422.214798875989,1.50890593206871,11.9320612735946,4.38683926499765,0.617534097609793,4.63019917762653,4.19994287984163,0.0955776736216228,0.0062519840213544,0.0034255917394979,13.750037897127,45.6740712840002,15.0,3164.11767114695,107385.0,240,30.0,1.31417122979895,1147.25732746074,56.5791368208264,2409.7649644496,130.945546306607,423.056401841551,2.46773078529964,14.7368242175021,1.88959859298314,0.576628341249935,4.1195218714717,3.82633629064853,0.0240663064030141,0.0018816525370014,0.001023259401281,13.4244541870652,45.8310598813657,15.0
0.010416666,29.9924058022358,1.58474055910334,1146.6028811169,67.0217229306062,2405.67178190558,130.373029158213,421.83068048048,1.44663692554161,11.7514160223087,4.58877690112582,0.626800014308753,4.70288657670568,4.22676480641811,0.107285808001205,0.0069219313741159,0.0038058948355908,13.7447259234816,45.6281934751688,15.0,3162.84621680021,107370.0,240,29.9977972559659,1.33916193052342,1147.1192207386,57.6612749382613,2409.20561214101,130.882523778525,422.897124876911,2.32889113873782,14.4751858702039,2.13303466763595,0.582642048183213,4.17963543593478,3.86207520936222,0.0282749499546365,0.0021961106706347,0.0012017092097893,13.4387981114994,45.8089851902719,15.0
0.020833333,29.9907413302723,1.60550233120209,1143.69421358447,68.1841772174169,2399.01760921308,129.996575675251,420.567589935514,1.45655147661674,11.8350864574188,4.54163398003654,0.631934099636525,4.76123703133645,4.22146418527822,0.106293063917233,0.0068773428391109,0.0037880724788046,13.6937065928357,45.4964890437839,15.0,3155.21749100213,98100.0,240,29.9937549523043,1.35768625037262,1146.03273118324,58.5026466166491,2406.64500173943,130.726393948454,422.37105774622,2.28860296766037,14.4531791662843,2.17494362275066,0.58762710825363,4.22403861530513,3.86791241001082,0.0290246290577231,0.0022294611642384,0.0012179090191093,13.4223574593709,45.7543823595768,15.0
0.03125,29.9962923680894,1.62061069865658,1141.05072574239,68.8522185068596,2393.3295541584,129.675388935986,419.484087360635,1.47003217298283,11.9154650539544,4.45578614380339,0.632613230956056,4.79148803712486,4.21343679743874,0.102167897039226,0.0066231300970048,0.0036424331710584,13.6926017092449,45.3844159270834,15.0,3148.33229297352,96670.0,240,29.9937750255726,1.36981039355153,1143.87438829217,58.9980304537691,2401.93623709342,130.458934543993,421.461165035797,2.32032641221833,14.5530115194756,2.09476445064734,0.590282243341412,4.24752673883618,3.85794355960464,0.0276903969008253,0.0021258628180329,0.001159165576552,13.4155537300259,45.6609293692396,15.0
0.041666666,30.0002234246041,1.62784010614712,1141.71096164549,69.2958093477567,2394.98760807431,129.752447606781,419.705958867479,1.47236406805392,11.9262600882187,4.43052560715386,0.632785975044674,4.81138389873502,4.21088311282478,0.100575982330093,0.006520653407831,0.0035828044187522,13.7067438959362,45.4116049082844,15.0,3150.64829283758,94890.0,240,29.9963791244552,1.37848451706253,1142.45316226064,59.3698162821001,2398.99495420322,130.283461014513,420.860151304608,2.35205683080217,14.6222214668686,2.02712284736232,0.592107150089926,4.26386876915292,3.85039404703305,0.0265885482819082,0.0020453054859096,0.0011146229841068,13.4165772527908,45.5997332579166,15.0
0.052083333,30.0022251324347,1.62467918901425,1144.02214629685,69.3741348592376,2400.38891390051,130.035729561447,420.598957164093,1.47322069806255,11.9276745954497,4.44910412962095,0.631956164889805,4.81359642505859,4.20735882675929,0.100115392689885,0.0064871148196455,0.0035613613825942,13.7231638088802,45.5108071088115,15.0,3157.44801666822,91605.0,240,29.9989826241068,1.38014805706489,1142.71768613519,59.4975991630917,2399.85826150932,130.317458579482,420.941309783022,2.37961316671448,14.680640670686,1.97344898771815,0.592418159004498,4.26795945519545,3.84207993056506,0.0257030678957705,0.0019803938968779,0.0010785350077328,13.4179471637547,45.6118103655194,15.0
0.0625,30.0036922380002,1.61567857827517,1146.18012249816,69.137302268599,2405.66353336704,130.313194248158,421.478309424594,1.47162767809429,11.924177080545,4.52720880284088,0.630022682965847,4.79902112864693,4.20291963475297,0.101193618464404,0.0065377611647814,0.0035846324122214,13.7457144571269,45.6077688336015,15.0,3163.78517298012,89275.0,240,30.0010605796567,1.37511721097397,1144.01015007368,59.3531632362821,2403.08990744643,130.485529358766,421.457060167491,2.40072870978674,14.7425245633981,1.94292952792361,0.59101016108229,4.25816890711162,3.8314347548566,0.025176405723032,0.0019424654242564,0.0010571159337826,13.420457683435,45.6706908084582,15.0
0.072916666,30.004837651738,1.60361831293093,1147.72092413535,68.784332446458,2409.77244278041,130.526103857915,422.152633386558,1.46822141690703,11.9169215399245,4.6696513667734,0.627499282958528,4.77734402736482,4.19750225974315,0.104130749656526,0.0066941922715232,0.0036659838546623,13.7703544635653,45.681877632059,15.0,3168.47873567906,86185.0,240,30.0026807030199,1.36583377824209,1145.5358460377,59.0140385125776,2406.962626717,130.693775176021,422.100520268314,2.40881550934327,14.8138831408548,1.9460031692288,0.588388757381166,4.23790602483214,3.81791154734248,0.0251574754447933,0.0019403051180349,0.0010549247309318,13.4234663447569,45.7434556359158,15.0
0.083333333,30.0062314330916,1.58548322045628,1148.73305704183,68.1941003862832,2412.8825187501,130.689157224735,422.666004177097,1.47021314921942,11.9291001879148,4.80093751977315,0.622257842206465,4.74251540471162,4.18853661159285,0.106810048970877,0.0068439022584772,0.0037450037443948,13.7905689710722,45.7383816202755,15.0,3171.67741440024,82265.0,240,30.0040714934125,1.3526523882529,1146.87441079571,58.4809269775823,2410.55950070943,130.894153872124,422.71140674219,2.41456035293183,14.9160093720262,1.95690622571877,0.584358977409297,4.20678931941489,3.79889917021388,0.0252371494171722,0.0019448812336405,0.0010560966406992,13.4250106702739,45.8132756217155,15.0
0.09375,30.0074136528489,1.56685297595529,1149.45849086295,67.4269043772967,2415.40806370122,130.827981144724,423.11470603945,1.47023313618827,11.9328230700717,4.89507150507897,0.61513652721955,4.6979670504723,4.18081691731864,0.109020520734851,0.0069698172820026,0.0038119393322985,13.8109328867231,45.7863897827379,15.0,3174.01690193129,82740.0,240,30.0054659484373,1.33832556740481,1147.95708294806,57.8661513596157,2413.67418361513,131.072830967912,423.257264985601,2.41398871525423,15.0082487008421,1.98219487416069,0.579399778613672,4.17107805407002,3.78024713404084,0.0255664976190469,0.0019717719837382,0.0010703320891936,13.4285478253691,45.8753470139994,15.0
