Time [days],X_ND,X_S,S_O
0.0,5.255483150183737,63.804256319716806,2.430819757123311
0.010416666,5.945155004970436,71.52978058023855,2.974061779452455
0.020833333,6.421435520958353,103.17209600363874,2.975565129587229
0.03125,6.9343344018268445,83.27586891585796,2.9685066810259837
0.041666666,5.909558294537925,92.9070233058469,3.1457861197290473
0.052083333,5.867499842954527,84.13794835855363,3.514213521204439
0.0625,6.935371344797237,79.63336406722627,3.450425351175258
0.072916666,6.37911648037038,98.54140001093405,2.770632643693679
0.083333333,5.573857624167993,98.78732739528397,3.3745938659620633
0.09375,6.051034030579913,85.27655036711779,3.5989715368540525
0.104166666,5.391792097018233,66.13230555369142,3.319789939003678
0.114583333,5.278183044123484,82.35792005440733,3.5753076892581124
0.125,5.532615099324111,88.07293367745405,3.964609671691617
0.135416666,4.143962514593664,68.82165767228047,3.8209840711339114
0.145833333,4.081501416929757,80.28973366715472,3.746762465202311
0.15625,4.572351044714793,75.4939288343504,4.133870400588724
0.166666666,4.169956904179644,77.79955859327086,3.9770607418350705
0.177083333,4.78974642925721,71.43231635872328,4.0313573266512694
0.1875,3.9867230017845783,59.74819308188475,3.9967678181773096
0.197916666,3.6215827169313015,77.04117995127204,4.603470401983955
0.208333333,5.180091720771967,64.04119308487921,3.9377624274585394
0.21875,4.183423140485159,64.253224095267,4.671955359145546
0.229166666,4.309826673948169,55.63727896599417,4.385979346889926
0.239583333,3.4364978203045804,59.48853659257852,3.841067304868098
0.25,3.906327762491166,55.23724059412783,4.411060517431944
0.260416666,4.221268559295733,60.41478640731387,3.724462602377842
0.270833333,3.4433722313329387,75.87542710771129,4.5808497066723515
0.28125,4.252537919070699,47.858632475965585,4.691498576451771
0.291666666,3.6466139767559373,44.8620283886582,4.280900322534074
0.302083333,3.7801194074075806,71.02006879356819,4.516092584240102
0.3125,3.5727376663293753,55.74283638769599,5.075068602881765
0.322916666,4.948881070871931,51.39046506985926,4.350419840837193
0.333333333,3.8818820752913528,66.22241665916434,4.194695883628882
0.34375,3.283766396543804,51.7819172710365,4.966734252140915
0.354166666,4.358603439726726,73.02871385653016,5.11718798289034
0.364583333,3.2082386032605004,63.21145399165215,4.531008014073574
0.375,4.066879342826357,53.361373743023066,4.771843127990951
0.385416666,2.9317657391480196,78.4377179231053,4.793015788639249
0.395833333,3.495904064387772,56.94649366619113,4.02265898541367
0.40625,4.668964019365535,73.15599223648594,3.7862217176006645
0.416666666,5.281380020305715,74.89108023531503,3.9349109472231008
0.427083333,5.303367436429505,88.78366024461329,3.7173698077715236
0.4375,5.517486929071263,96.80091941645618,3.0214543333299257
0.447916666,5.8378490158338545,89.51837971467248,2.28706131214042
0.458333333,5.619024237331444,89.84376995888712,2.9299587833679923
0.46875,6.494242430549007,107.52969985461456,2.045084862430843
0.479166666,7.054979973170743,104.31260395544018,1.9979703116442142
0.489583333,8.217886603152278,134.7230989386206,2.1180243338089273
0.5,7.998945624687724,121.96519450871665,2.4066269748465694
0.510416666,6.933539815320228,119.70097796445667,2.125497377163769
0.520833333,8.207721843240098,126.66749365412166,1.9239045426232115
0.53125,7.884570296929202,114.74303029148281,1.871582294406834
0.541666666,7.702844553399915,119.38839298154184,1.7002424709451884
0.552083333,8.47398732303159,136.90703057900274,1.8026952813875705
0.5625,8.774535861121475,122.32360194672145,0.8335645030790331
0.572916666,8.74290585486725,120.21383079843689,1.462981920726858
0.583333333,7.709756154465131,133.94996100849178,1.609383506456735
0.59375,7.897372217684063,138.9499226197193,1.2101104076773144
0.604166666,8.056708268919994,131.94441182788955,1.7147732121348676
0.614583333,8.375267602654052,130.59029512901768,1.555543298125378
0.625,7.52384810682553,116.26183429643777,2.1200272672771203
0.635416666,7.625091418564301,110.08913769044952,2.085897461157062
0.645833333,7.03311164467484,133.84135651304211,1.519817488929212
0.65625,6.830141355824321,117.06794499798718,1.6936092287472697
0.666666666,7.745611955789516,113.80465253083841,1.8589408242184327
